Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ocbgoVGwYJhOv1GgI9NsF,7 rings,"thank u, next",Ariana Grande,2/8/2019,178626,86,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,pop,Republic Records,0.777,0.317,1,-10.732,0,0.308,0.591,0,0.0881,0.33,139.848,4
spotify:track:74sb4Gib0cL3TQeCjYF8vh,Lay Me Down,In The Lonely Hour,Sam Smith,5/26/2014,253208,77,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,soft pop,PLG - Capitol,0.418,0.332,4,-9.482,1,0.0492,0.771,0.0000201,0.109,0.171,119.164,4
spotify:track:5gW5dSy3vXJxgzma4rQuzH,Make Me Feel,Dirty Computer,Janelle Monáe,4/27/2018,194230,60,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,alternative r&b,Bad Boy Records,0.859,0.413,1,-7.399,1,0.182,0.132,0,0.334,0.697,115.035,4
spotify:track:3HW030T8eqPs8wpsgZqCGM,Q.U.E.E.N. (feat. Erykah Badu),The Electric Lady,Janelle Monáe;Erykah Badu,9/6/2013,310480,45,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,"alternative r&b,neo soul,r&b",Bad Boy/Wondaland,0.843,0.433,0,-8.139,1,0.0676,0.0114,0.00000819,0.123,0.161,106.028,4
spotify:track:4NiehSBQthimPzRsVeOgCT,My My My!,Bloom,Troye Sivan,8/31/2018,204726,62,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,EMI Recorded Music Australia Pty Ltd,0.701,0.459,1,-7.749,1,0.084,0.00407,0.000155,0.045,0.481,102.964,4
spotify:track:3gdPwk2wyOXNRnTA1KXnEr,Wish You The Best,Broken By Desire To Be Heavenly Sent,Lewis Capaldi,5/19/2023,210880,76,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,soft pop,Vertigo Berlin,0.675,0.48,3,-3.658,1,0.0316,0.547,0,0.0943,0.491,107.86,4
spotify:track:1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685;Jason Derulo,6/11/2020,171374,72,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Columbia,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,4
spotify:track:7xJqJxiM5f0BZQLWCbOuWz,STILL CHOSE YOU (feat. Mustard),F*CK LOVE 3+: OVER YOU,The Kid LAROI;Mustard,7/27/2021,171428,58,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Columbia,0.724,0.5,5,-7.112,0,0.259,0.41,0,0.115,0.317,97.694,4
spotify:track:3CJvmtWw2bJsudbAC5uCQk,Hands To Myself,Revival (Deluxe),Selena Gomez,10/9/2015,200680,68,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Selena Gomez PS,0.811,0.507,5,-7.161,0,0.117,0.0146,0.00000214,0.342,0.438,111.016,4
spotify:track:2wSTnntOPRi7aQneobFtU4,Shirt,SOS,SZA,12/9/2022,181840,69,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,r&b,Top Dawg Entertainment/RCA Records,0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,4
