Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2FnkrCrbXJuebXxnVtXiHI,Vem Vem,Vem Vem,Jmilton;MC Xangai,5/30/2025,83183,78,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:19:48Z,"phonk,brazilian phonk,funk,funk de bh",Jmilton,0.723,0.987,9,-0.344,1,0.122,0.231,0.0000295,0.144,0.553,129.997,4
spotify:track:5BB0Jzw60KyfSTyjJqtely,Na Na Na (Na Na Na Na Na Na Na Na Na),Danger Days: The True Lives of the Fabulous Killjoys,My Chemical Romance,11/19/2010,205960,73,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"emo,pop punk",Reprise,0.411,0.986,8,-2.522,0,0.0583,0.000264,0.00148,0.371,0.649,165.981,4
spotify:track:61mWefnWQOLf90gepjOCb3,Duality,Vol. 3: The Subliminal Verses (Special Edition),Slipknot,2004,252613,84,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"nu metal,metal,alternative metal,rap metal,heavy metal",Roadrunner Records,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4
spotify:track:3RAFcUBrCNaboRXoP3S5t1,Psychosocial,All Hope Is Gone (10th Anniversary),Slipknot,8/20/2008,284120,81,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"nu metal,metal,alternative metal,rap metal,heavy metal",Roadrunner Records,0.568,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,4
spotify:track:4Yf5bqU3NK4kNOypcrLYwU,Faint,Meteora,Linkin Park,3/25/2003,162106,87,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.554,0.98,4,-3.514,1,0.108,0.127,0,0.0833,0.611,135.12,4
spotify:track:7AB0cUXnzuSlAnyHOqmrZr,Faint,Meteora (Bonus Edition),Linkin Park,3/25/2003,162106,72,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.554,0.98,4,-3.514,1,0.108,0.127,0,0.0833,0.611,135.12,4
spotify:track:2sFWzfV3kqAwXEWM9BjzwH,MIROH,Clé 1 : MIROH,Stray Kids,3/25/2019,207617,66,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"k-pop,noise music",Republic Records - Stray Kids,0.564,0.979,9,-3.102,1,0.104,0.0091,0,0.249,0.505,126.059,4
spotify:track:1RnPdd7EKKhKN3E4o4DRsh,MONTAGEM BAILÃO,MONTAGEM BAILÃO,Repsaj;MXZI;ATLXS;Mc Jhey,4/4/2025,103727,78,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:19:58Z,"phonk,brazilian phonk,funk,brazilian funk",repsaj,0.67,0.976,1,-2.113,1,0.044,0.027,0.00000159,0.124,0.34,130.103,4
spotify:track:6HvUYS1xDfTCGWoeVrv3XS,Dammit,Dude Ranch,blink-182,6/17/1997,165373,66,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"pop punk,punk,rock,skate punk,emo",Cargo,0.409,0.974,0,-5.136,1,0.0915,0.00168,0,0.164,0.33,110.87,4
spotify:track:6wqJeItl3Vc3az4ZicSQAB,Before I Forget,Vol. 3: The Subliminal Verses (Special Edition),Slipknot,2004,278600,80,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"nu metal,metal,alternative metal,rap metal,heavy metal",Roadrunner Records,0.291,0.974,6,-2.997,0,0.171,0.0177,0.00000544,0.886,0.348,134.724,4
