Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4yNk9iz9WVJikRFle3XEvn,"golden hour","this is what falling in love feels like (554Hz)","JVKE",2022-10-03,209259,78,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","JVKE",0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3
spotify:track:1Q7EgiMOuwDcB0PJC6AzON,"Best Part (feat. H.E.R.)","Freudian","Daniel Caesar;H.E.R.",2017-08-25,209831,86,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"r&b","HV Recordings",0.518,0.365,7,-10.215,1,0.0374,0.799,0,0.1,0.437,75.256,4
spotify:track:2uP6t2J5MEwhr9rDkAAzwh,"Get You (feat. Kali Uchis)","Freudian","Daniel Caesar;Kali Uchis",2017-08-25,278179,85,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","HV Recordings",0.659,0.295,11,-8.528,0,0.0322,0.426,0.0000701,0.0749,0.36,74.037,4
spotify:track:1KA2JLeMi0Mo3hjO0442re,"SUPERPOSITION (feat. John Mayer)","CASE STUDY 01","Daniel Caesar;John Mayer",2019-06-28,263794,74,true,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"singer-songwriter","HV Recordings",0.587,0.279,4,-11.209,1,0.0408,0.912,0.000127,0.0871,0.334,115.665,4
spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,"Die For You","Starboy","The Weeknd",2016-11-25,260252,80,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","The Weeknd/Lyric",0.586,0.525,1,-7.163,0,0.0616,0.111,0,0.134,0.507,133.63,4
spotify:track:09mEdoA6zrmBPgTEN5qXmN,"Call Out My Name","My Dear Melancholy,","The Weeknd",2018-03-30,228373,85,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","The Weeknd/Lyric",0.461,0.593,1,-4.954,1,0.0356,0.165,0,0.307,0.174,134.165,3
spotify:track:1dGr1c8CrMLDpV6mPbImSI,"Lover","Lover","Taylor Swift",2019-08-23,221306,85,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Taylor Swift",0.359,0.543,7,-7.582,1,0.0919,0.492,0.0000158,0.118,0.453,68.534,4
spotify:track:12M5uqx0ZuwkpLp5rJim1a,"Cornelia Street","Lover","Taylor Swift",2019-08-23,287266,74,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Taylor Swift",0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,4
spotify:track:0Jlcvv8IykzHaSmj49uNW8,"the 1","folklore","Taylor Swift",2020-07-24,210251,76,true,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Taylor Swift",0.777,0.357,0,-6.942,1,0.0522,0.757,0.00000728,0.108,0.172,139.884,4
spotify:track:1ZMiCix7XSAbfAJlEZWMCp,"Falling","Fine Line","Harry Styles",2019-12-13,240139,83,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Columbia",0.567,0.267,4,-6.502,1,0.0299,0.839,0.00000146,0.089,0.0592,110.011,4
spotify:track:1IF5UcqRO42D12vYwceOY6,"From the Dining Table","Harry Styles","Harry Styles",2017-05-12,211954,71,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Columbia",0.671,0.156,8,-16.288,1,0.0371,0.804,0.0518,0.113,0.201,94.08,4
spotify:track:6uvh0In7u1Xn4HgxOfAn8O,"Matilda","Harry's House","Harry Styles",2022-05-20,245964,83,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Columbia",0.507,0.294,2,-10,1,0.04,0.896,0.0000197,0.0966,0.386,114.199,4
spotify:track:5GUYJTQap5F3RDQiCOJhrS,"Self Control","Blonde","Frank Ocean",2016-08-20,249667,78,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Boys Don't Cry",0.581,0.21,8,-10.426,1,0.0321,0.768,0,0.369,0.452,80.099,4
spotify:track:2LMkwUfqC6S6s6qDVlEuzV,"White Ferrari","Blonde","Frank Ocean",2016-08-20,248807,86,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Boys Don't Cry",0.501,0.0958,0,-15.605,1,0.0433,0.77,0,0.298,0.204,108.741,4
spotify:track:43iIQbw5hx986dUEZbr3eN,"From The Start","Bewitched","Laufey",2023-09-08,169573,88,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Laufey",0.554,0.339,1,-10.088,1,0.0779,0.886,0.00128,0.11,0.83,80.994,4
spotify:track:6cx5CvFhqN19efStehJqoW,"Valentine","Everything I Know About Love","Laufey",2022-08-26,168906,78,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Laufey",0.472,0.204,3,-13.065,1,0.0452,0.917,0,0.107,0.224,82.51,4
spotify:track:7ASFZh1D0DPZro7UXUKGmd,"Loving Is Easy","Loving is Easy","Rex Orange County;Benny Sings",2017-10-11,155720,69,true,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"bedroom pop","Rex Orange County",0.756,0.609,3,-7.927,1,0.0544,0.217,0.00482,0.0959,0.537,117.024,4
spotify:track:4xqrdfXkTW4T0RauPLv3WA,"Heather","Kid Krow","Conan Gray",2020-03-20,198040,85,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Republic Records",0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,3
spotify:track:2JN3ugW1cEahbYw0I5mw5U,"Astronomy","Superache","Conan Gray",2022-06-24,243907,73,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","Republic Records",0.474,0.343,4,-8.571,0,0.027,0.578,0.0000265,0.305,0.152,145.115,3
spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,"Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232114,85,true,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","L-M Records/RCA Records",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
spotify:track:0DmkBOGgEWMbUJlL6VwwF2,"Helmet","Gemini Rights","Steve Lacy",2022-07-15,201510,71,true,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"","L-M Records/RCA Records",0.612,0.675,9,-6.518,0,0.0231,0.0994,0,0.217,0.763,97.04,4
spotify:track:2TktkzfozZifbQhXjT6I33,"Evergreen (You Didn’t Deserve Me At All)","Ivory","Omar Apollo",2022-04-08,216680,83,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"bedroom pop","Warner Records",0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,3
spotify:track:613Db7CIngP03SE2pAqTwg,"Done With You","God Said No","Omar Apollo",2024-06-28,158093,44,true,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"bedroom pop","Warner Records",0.454,0.757,10,-7.487,1,0.0948,0.159,0.000714,0.519,0.833,89.498,4
spotify:track:7jhxagwOk9y1HC5ciRfmkQ,"Invincible (feat. Daniel Caesar)","Ivory","Omar Apollo;Daniel Caesar",2022-04-08,216160,69,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"bedroom pop","Warner Records",0.555,0.474,6,-11.706,0,0.0668,0.224,0.00426,0.162,0.262,134.89,4
spotify:track:7qH9Z4dJEN0l9bidizW7fq,"Anchor","Bathing Beach","Novo Amor",2017-05-26,257533,81,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"ambient folk","AllPoints",0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,4
spotify:track:0u4rkpmNtgcFxYHepnVF4v,"Carry You","Bathing Beach","Novo Amor",2017-05-26,273106,69,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"ambient folk","AllPoints",0.334,0.397,7,-7.993,1,0.0284,0.558,0.0774,0.126,0.035,93.445,4
spotify:track:7CoMBpPTwQi2wPT0U0Nr9b,"State Lines","Birthplace","Novo Amor",2018-10-19,208653,75,false,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:21:01Z,"ambient folk","AllPoints",0.509,0.31,9,-10.623,1,0.0313,0.959,0.229,0.0963,0.151,137.474,3
